exchange,time,return_cum_weight,return_weight,return_cum_month_weight,return_cum_year_weight,return20,return30,return40,return50,return60,return70,return80,return90,return100,return120,return140,return160,return180,return200,return10
HSX,2017-10-02,0.00016988801478968172,-3.6422768341194085e-07,-3.972058703177008e-07,5.086260656881829e-05,3.28953753406096e-07,4.183663813719888e-07,1.9247073084983443e-07,3.2224424856845367e-07,2.1334434217418966e-07,2.1642685746552163e-07,2.6997390876290713e-07,2.878599257428486e-07,3.312698167323812e-07,2.9968748731551013e-07,2.8444385125012504e-07,2.5599547197145473e-07,2.62458175870679e-07,2.835773076893211e-07,6.381707234382644e-08
HSX,2017-10-03,0.00016784440209896288,-1.2823324099178135e-06,-1.6915183589174668e-06,4.929377849537167e-05,2.200683423780395e-07,3.813278614456141e-07,1.334707728797336e-07,3.069612380848072e-07,2.3463622813526694e-07,1.8307574913319652e-07,2.5543480203852333e-07,2.65233395220948e-07,3.1474997825099276e-07,2.899883707532296e-07,2.804322123177704e-07,2.3945359692781544e-07,2.471390244245794e-07,2.793000815698287e-07,-1.4707582411932303e-08
HSX,2017-10-04,0.0001721422995465912,2.610026890217047e-06,8.614092751310618e-07,5.240535128935236e-05,3.359462768032668e-07,5.359788147542028e-07,2.1330382095546963e-07,3.149462293051846e-07,2.661922572736937e-07,2.388898268333879e-07,2.7156989203352416e-07,3.192192688621783e-07,3.413687107123576e-07,3.244971794342977e-07,2.9253819695699727e-07,2.6114426419938e-07,2.639981751605689e-07,2.7721128589234506e-07,2.590016030464289e-07
HSX,2017-10-05,0.00017151473127336293,-1.7479860922141673e-07,6.263335500445016e-07,5.2253768431148624e-05,2.805806395072523e-07,4.852597182864519e-07,3.2393124725229203e-07,2.6901226061941644e-07,2.443483383091859e-07,2.2834220595857464e-07,2.521363624952925e-07,3.172571538795813e-07,3.330566944948766e-07,3.3672418194643717e-07,2.9418593460038313e-07,2.612358306167113e-07,2.6636750248398633e-07,2.7219982649400695e-07,2.7529899427378115e-07
HSX,2017-10-06,0.00017284782431657868,8.564792143943586e-07,1.4655365265176768e-06,5.3261036053987036e-05,2.6964645555314903e-07,4.709942181517596e-07,3.4509223111108336e-07,2.9768462914471337e-07,2.39777613078685e-07,2.2931172870670974e-07,2.5885065309911694e-07,3.135157421474235e-07,3.425984982827033e-07,3.316456883532055e-07,2.8755051409236626e-07,2.5916946995851116e-07,2.8053117583515237e-07,2.6292194208276066e-07,2.9538628920744614e-07
HSX,2017-10-09,0.00017396797010367266,5.416288276323916e-07,2.0040470216345645e-06,5.395274760862144e-05,3.5897319441305766e-07,4.702415906550357e-07,3.6339698538120067e-07,2.7683806178463064e-07,2.5075550942507276e-07,2.2058213296901724e-07,2.5570208725170123e-07,3.1981834432777527e-07,3.2901997812156484e-07,3.310636521752987e-07,2.8834221461362914e-07,2.538138141808149e-07,2.7280949974064815e-07,2.6967005528977404e-07,3.2492750368581603e-07
HSX,2017-10-10,0.00017507433288523524,4.5598304740519227e-07,2.4379200302574337e-06,5.462242101305707e-05,3.1557274376150354e-07,4.400463860948e-07,3.3622218327416827e-07,2.4315473456965525e-07,2.9970094842333734e-07,2.146609003695091e-07,2.3754600230697057e-07,3.090349938055192e-07,2.9960961904594996e-07,3.449073618872455e-07,2.981327792325556e-07,2.580808939388029e-07,2.789232505865469e-07,2.8533515712168125e-07,3.395188230270878e-07
HSX,2017-10-11,0.00017683784392520655,1.2059769534334269e-06,3.6024302291192846e-06,5.5893346835468543e-05,3.372683940896685e-07,5.045796934879041e-07,4.031775648423617e-07,2.510213896011768e-07,3.2448418796161803e-07,2.43370777938942e-07,2.4361987568807454e-07,2.969156804046663e-07,3.162093392814246e-07,3.5535634749623236e-07,2.9505882857505515e-07,2.7031409775758804e-07,2.86535136276598e-07,2.8575102002088584e-07,4.307841353223119e-07
HSX,2017-10-12,0.0001777316190382498,9.62565189281834e-07,4.524934415362937e-06,5.6848943011157194e-05,3.3556621318150953e-07,4.85198049665345e-07,4.086460304392327e-07,2.732239236417282e-07,3.268027325031419e-07,2.441082468507904e-07,2.5932318029758355e-07,2.976360703343441e-07,3.1381368402547134e-07,3.718969741059848e-07,2.958170341488685e-07,2.8408978233243735e-07,2.8750540717221765e-07,2.9318732179952786e-07,4.910133927778834e-07
HSX,2017-10-13,0.00018036981773262922,1.4938826695193431e-06,6.054835780590796e-06,5.8766900607136555e-05,4.0254427595058696e-07,4.912819007776741e-07,4.899772629638994e-07,2.9263956865627067e-07,3.533423020131693e-07,2.503470774190917e-07,2.812726185323053e-07,3.17177414052534e-07,3.296815222892789e-07,3.8667961124725547e-07,3.0523670579206555e-07,2.8208368125739585e-07,2.950519747513033e-07,3.020505079865527e-07,6.305184089332417e-07
